active_boost,Use when bold action designator exists.,0,0,0
additional_action_1,Use when a card let you take additional action. Not when it let you immediately take action.,3,3,0
additional_action_2,Use when a card let you take additional action. Not when it let you immediately take action.,1,1,0
additional_action_3,Use when a card let you take additional action. Not when it let you immediately take action.,1,0,1
additional_clue_1,"Use for exactly additional clue from the location you are investigating, not when it gets more from other locations.",4,2,2
additional_clue_2,"Use for exactly additional clue from the location you are investigating, not when it gets more from other locations.",2,0,2
additional_clue_3,"Use for exactly additional clue from the location you are investigating, not when it gets more from other locations.",0,0,0
additional_slot_accessory,,2,1,1
additional_slot_ally,,2,1,1
additional_slot_arcane,,1,1,0
additional_slot_hand,,1,0,1
any_investigator,Can target anyone's things regardless of location.,2,0,2
aoe_damage,"Multiple enemies at the same location takes damage, or one enemy at different locations takes damage.",1,1,0
aoe_engage,,1,0,1
aoe_evade,"Multiple enemies at the same location are evaded, or one enemy at different locations are evaded.",3,1,2
at_end_of_round,,2,0,2
attach_asset_you,,0,0,0
attach_asset_your_location,,0,0,0
attach_enemy,,1,0,1
attach_location,,2,1,1
auto_evade,"Some card that provide auto_evade might not be testless_evade, such as Throw the Book at Them",2,2,0
auto_success,Cause the test to be automatically successful.,1,0,1
between_scenarios,Effect triggers when you are not playing.,1,0,1
bless_add,"Able to increase bless count in the bag, except by releasing.",0,0,0
bless_remove,"Able to reduce bless count in the bag, except by sealing.",0,0,0
bless_return,"Can return bless back, like Sacred Covenant",0,0,0
bless_revealed,Effect check if bless tokens are revealed.,0,0,0
bless_seal,Can seal bless tokens.,0,0,0
blurse_conversion,Can exchage bless / curse. Tides of Fate.,0,0,0
blurse_revealed,Offer advantage revealing both kind of tokens. Offer choices revealing either kind of tokens.,0,0,0
bold_engage,Use when bold action designator exists.,0,0,0
bold_evade,Use when bold action designator exists.,7,3,4
bold_fight,Use when bold action designator exists.,23,9,14
bold_investigate,Use when bold action designator exists.,9,5,4
bold_parley,Use when bold action designator exists.,0,0,0
bold_resign,Use when bold action designator exists.,1,0,1
boost_agility_1,,4,3,1
boost_agility_1_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,4,1,3
boost_agility_2,,0,0,0
boost_agility_2_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,0,0,0
boost_agility_3,,2,0,2
boost_any_1,,1,0,1
boost_any_2,,3,3,0
boost_any_3,,0,0,0
boost_combat_1,,9,4,5
boost_combat_1_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,4,2,2
boost_combat_2,,7,4,3
boost_combat_2_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,0,0,0
boost_combat_3,,4,1,3
boost_combat_5,,1,0,1
boost_intellect_1,,5,4,1
boost_intellect_1_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,3,1,2
boost_intellect_2,,3,0,3
boost_intellect_2_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,0,0,0
boost_intellect_3,,2,0,2
boost_willpower_1,,4,3,1
boost_willpower_1_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,5,2,3
boost_willpower_2,,3,1,2
boost_willpower_2_passive,Passive boost can be conditioned such as The Black Fan or Dissection Tool.,0,0,0
boost_willpower_3,,1,0,1
bottom_of_deck,Deal with bottom of any deck.,1,0,1
cancel_attack,,2,1,1
cancel_chaos,,1,1,0
cancel_damage,,2,1,1
cancel_encounter_draw,,1,0,1
cancel_encounter_effect,,1,0,1
cancel_horror,,2,1,1
cancel_revelation,,1,1,0
chaos_do_not_reveal,"Will to Survive, Pnakotic Manuscript, Justify the Means.",1,1,0
chaos_ignore,,1,1,0
chaos_ignore_effect,Usually ignored together with modifer.,2,0,2
chaos_ignore_modifier,Sometimes only modifier is ignored.,2,0,2
chaos_modifier,"Sure Gamble, Hit Me!",2,2,0
chaos_resolve_choose,"Grotesque Statue, Olive McBride.",1,1,0
chaos_reveal_another_instead,,1,0,1
chaos_reveal_before_effect,,1,0,1
chaos_reveal_during_effect,Effect timing related to chaos token revealing.,3,2,1
chaos_reveal_manual,Effect that instruct you to reveal tokens to determine result.,1,0,1
chaos_reveal_more_instead,"Grotesque Statue, Olive McBride.",1,1,0
chaos_reveal_token_auto_fail,,8,4,4
chaos_reveal_token_bless,,0,0,0
chaos_reveal_token_cultist,,10,4,6
chaos_reveal_token_curse,,0,0,0
chaos_reveal_token_elder_sign,,1,0,1
chaos_reveal_token_elder_thing,,7,4,3
chaos_reveal_token_skull,,13,5,8
chaos_reveal_token_tablet,,9,4,5
chaos_treat_as_elder_sign,,1,1,0
connecting_location_enemy,,1,1,0
connecting_location_investigator,,2,1,1
cost_action_discard_self,,1,1,0
cost_action_exhaust_self,,8,8,0
cost_action_spend_ammo,,6,3,3
cost_action_spend_charge,,10,5,5
cost_action_spend_supply,,6,3,3
cost_fast_damage_self,,1,1,0
cost_fast_discard_self,,2,2,0
cost_fast_exhaust_self,,8,4,4
cost_fast_spend_resource,,10,5,5
cost_reaction_discard_self,,1,1,0
cost_reaction_exhaust_self,,8,5,3
cost_reaction_horror_self,,3,2,1
cost_reaction_spend_resource,,1,0,1
current_clue_value,,1,0,1
current_clue_zero,,1,0,1
current_resource_value,,0,0,0
current_resource_zero,,1,0,1
curse_add,Able to increase curse count in the bag.,0,0,0
curse_cost,Doesn't work unless you can add specified number of curse.,0,0,0
curse_defense,"Offer protection from curse token, whether ignoring modifier or taking them out.",0,0,0
curse_revealed,Effect checks if curse tokens are revealed.,0,0,0
damage_plus_1,,16,10,6
damage_plus_2,,11,2,9
damage_plus_3,,2,1,1
damage_plus_4,,1,1,0
damage_plus_5,,1,1,0
damage_redirect,Select new target for enemy's damage that's not simply soaking.,4,2,2
deal_damage_enemy,Card can deal damage to enemy.,8,7,1
deal_damage_investigator,Card can deal damage to investigator.,2,2,0
difficulty_check_higher_2,Works or not depending on test's difficulty.,1,0,1
difficulty_decrease,"Can decrease test difficulty, that is not shroud, evade, and fight.",1,0,1
difficulty_decrease_evade,Can decrease enemy's evade value.,0,0,0
difficulty_decrease_fight,Can decrease enemy's fight value.,1,0,1
difficulty_increase,"Can decrease test difficulty, that is not shroud, evade, and fight.",1,0,1
difficulty_increase_evade,Can increase enemy's evade value.,0,0,0
difficulty_increase_fight,Can increase enemy's fight value.,0,0,0
difficulty_zero,Has a check whether difficulty of something is 0.,0,0,0
discard_card_choose,Effect discard cards from your hand. You can choose which.,0,0,0
discard_card_random,"Effect discard cards from your hand, randomized.",1,0,1
discard_self,Somehow can discard itself.,6,3,3
discard_zero_uses,Discard itself when uses count runs out.,5,5,0
discount_1,Reduce play cost of other cards.,0,0,0
